word,value,hand
aarrghh,14,aaghhrr
abalone,9,aabelno
abandon,10,aabdnno
abashed,13,aabdehs
abashes,12,aabehss
abasing,10,aabgins
abating,10,aabgint
abators,9,aaborst
abattis,9,aabistt
abaxial,16,aaabilx
abbotcy,16,abbcoty
abdomen,12,abdemno
abduced,13,abcddeu
abduces,12,abcdesu
abducts,12,abcdstu
abettal,9,aabeltt
abetted,10,abdeett
abetter,9,abeertt
abettor,9,abeortt
abeyant,12,aabenty
abidden,11,abddein
abiding,11,abdgiin
abieses,9,abeeiss
abigail,10,aabgiil
ability,12,abiilty
abioses,9,abeioss
abiosis,9,abiioss
abiotic,11,abciiot
abjects,18,abcejst
abjoint,16,abijnot
abjured,17,abdejru
abjurer,16,abejrru
abjures,16,abejrsu
ablated,10,aabdelt
ablates,9,aabelst
ablator,9,aablort
ablauts,9,aablstu
abolish,12,abhilos
abollae,9,aabello
abollas,9,aabllos
abomasa,11,aaabmos
aborded,11,abddeor
aborted,10,abdeort
abought,13,abghotu
aboulia,9,aabilou
abounds,10,abdnosu
abraded,11,aabdder
abrader,10,aabderr
abrades,10,aabders
abraids,10,aabdirs
abraxas,16,aaabrsx
abrazos,18,aaborsz
abreact,11,aabcert
abreast,9,aaberst
abridge,11,abdegir
abroach,14,aabchor
abscess,11,abcesss
abscind,12,abcdins
abscise,11,abceiss
absciss,11,abcisss
abscond,12,abcdnos
abseils,9,abeilss
absence,11,abceens
absents,9,abensst
absinth,12,abhinst
absolve,12,abelosv
absorbs,11,abborss
abstain,9,aabinst
abusage,10,aabegsu
abusers,9,aberssu
abusing,10,abginsu
abusion,9,abinosu
abusive,12,abeisuv
abuttal,9,aablttu
abutted,10,abdettu
abutter,9,aberttu
abvolts,12,ablostv
abyeing,13,abeginy
abysmal,14,aablmsy
abyssal,12,aablssy
abysses,12,abesssy
acacias,11,aaaccis
academe,12,aacdeem
academy,15,aacdemy
acajous,16,aacjosu
acaleph,14,aacehlp
acantha,12,aaachnt
acanths,12,aachnst
acapnia,11,aaacinp
acarian,9,aaacinr
acarids,10,aacdirs
acarine,9,aaceinr
acaroid,10,aacdior
acaters,9,aacerst
acatour,9,aacortu
acaudal,10,aaacdlu
accable,13,aabccel
acceded,13,accddee
acceder,12,accdeer
accedes,12,accdees
accents,11,accenst
accepts,13,accepst
accidie,12,accdeii
accinge,12,accegin
accited,12,accdeit
accites,11,acceist
acclaim,13,aaccilm
accoast,11,aaccost
accoils,11,accilos
accompt,15,accmopt
accords,12,accdors
accosts,11,accosst
account,11,accnotu
accourt,11,accortu
accrete,11,acceert
accrual,11,aacclru
accrued,12,accderu
accrues,11,accersu
accurse,11,accersu
accurst,11,accrstu
accusal,11,aacclsu
accused,12,accdesu
accuser,11,accersu
accuses,11,accessu
acerate,9,aaceert
acerbic,13,abcceir
acerose,9,aceeors
acerous,9,aceorsu
acetals,9,aacelst
acetate,9,aaceett
acetify,15,acefity
acetone,9,aceenot
acetose,9,aceeost
acetous,9,aceostu
achages,13,aaceghs
acharne,12,aacehnr
achenes,12,aceehns
achiest,12,acehist
achieve,15,aceehiv
achings,13,acghins
achkans,16,aachkns
acidify,16,acdfiiy
acidity,13,acdiity
aciform,14,acfimor
acinose,9,aceinos
acinous,9,acinosu
aclinic,11,acciiln
acmites,11,aceimst
acolyte,12,aceloty
aconite,9,aceinot
acorned,10,acdenor
acouchi,14,acchiou
acouchy,17,acchouy
acquest,18,aceqstu
acquire,18,aceiqru
acquist,18,aciqstu
acquite,18,aceiqtu
acquits,18,aciqstu
acreage,10,aaceegr
acrobat,11,aabcort
acrogen,10,acegnor
acromia,11,aacimor
acronym,14,acmnory
acroter,9,aceorrt
acrylic,14,accilry
actable,11,aabcelt
actinal,9,aacilnt
actings,10,acginst
actinia,9,aaciint
actinic,11,acciint
actinon,9,acinnot
actions,9,acinost
actress,9,acersst
actuary,12,aacrtuy
actuate,9,aacettu
aculeus,9,acelsuu
acumens,11,acemnsu
acushla,12,aachlsu
acutely,12,aceltuy
acutest,9,acesttu
acyclic,16,acccily
adagios,9,aadgios
adamant,10,aaadmnt
adapted,11,aaddept
adapter,10,aadeprt
adaptor,10,aadoprt
adaxial,15,aaadilx
addaxes,16,aaddesx
addenda,10,aaddden
addends,10,adddens
addicts,11,acddist
addling,10,addgiln
address,9,adderss
addrest,9,adderst
adduced,12,acdddeu
adducer,11,acdderu
adduces,11,acddesu
adducts,11,acddstu
adeemed,11,addeeem
adenine,8,adeeinn
adenoid,9,addeino
adenoma,10,aademno
adeptly,13,adelpty
adermin,10,adeimnr
adharma,13,aaadhmr
adhered,12,addeehr
adherer,11,adeehrr
adheres,11,adeehrs
adhibit,13,abdhiit
adipose,10,adeiops
adjoins,15,adijnos
adjoint,15,adijnot
adjourn,15,adjnoru
adjudge,17,addegju
adjunct,17,acdjntu
adjured,16,addejru
adjures,15,adejrsu
adjusts,15,adjsstu
admiral,10,aadilmr
admired,11,addeimr
admirer,10,adeimrr
admires,10,adeimrs
admixed,18,addeimx
admixes,17,adeimsx
adnouns,8,adnnosu
adonise,8,adeinos
adonize,17,adeinoz
adopted,11,addeopt
adoptee,10,adeeopt
adopter,10,adeoprt
adorers,8,adeorrs
adoring,9,adginor
adorned,9,addenor
adpress,10,adeprss
adrenal,8,aadelnr
adsorbs,10,abdorss
adulate,8,aadeltu
advance,13,aacdenv
advened,12,addeenv
advenes,11,adeensv
advents,11,adenstv
adverbs,13,abdersv
adverse,11,adeersv
adverts,11,aderstv
advices,13,acdeisv
advised,12,addeisv
adviser,11,adeirsv
advises,11,adeissv
advisor,11,adiorsv
aecidia,10,aacdeii
aediles,8,adeeils
aefauld,11,aadeflu
aegises,8,aeegiss
aeneous,7,aeenosu
aeolian,7,aaeilno
aeonian,7,aaeinno
aerated,8,aadeert
aerates,7,aaeerst
aerator,7,aaeorrt
aerials,7,aaeilrs
aeriest,7,aeeirst
aerobes,9,abeeors
aerobic,11,abceior
aerobus,9,abeorsu
aerosol,7,aeloors
afeared,11,aadeefr
affable,15,aabeffl
affably,18,aabffly
affaire,13,aaeffir
affairs,13,aaffirs
affeard,14,aadeffr
affeare,13,aaeeffr
affears,13,aaeffrs
affects,15,aceffst
affeers,13,aeeffrs
affiche,18,aceffhi
affined,14,adeffin
affines,13,aeffins
affirms,15,affimrs
affixed,21,adeffix
affixes,20,aeffisx
afflict,15,acffilt
afforce,15,aceffor
affords,14,adffors
affrays,16,aaffrsy
affront,13,affnort
afghani,14,aafghin
afghans,14,aafghns
afreets,10,aeefrst
aftmost,12,afmostt
against,8,aaginst
agamids,11,aadgims
agamoid,11,aadgimo
agamous,10,aagmosu
agarics,10,aacgirs
ageings,9,aeggins
ageists,8,aegisst
agelast,8,aaeglst
ageless,8,aeeglss
agelong,9,aegglno
agendas,9,aadegns
agendum,11,adegmnu
agented,9,adeegnt
aggrace,11,aaceggr
aggrade,10,aadeggr
aggrate,9,aaeggrt
aggress,9,aeggrss
agilely,11,aegilly
agilest,8,aegilst
agility,11,agiilty
aginner,8,aeginnr
agisted,9,adegist
agister,8,aegirst
agistor,8,agiorst
agitate,8,aaegitt
agitato,8,aagiott
agitpop,12,agioppt
agnails,8,aagilns
agnamed,11,aadegmn
agnames,10,aaegmns
agnates,8,aaegnst
agnatic,10,aacgint
agnised,9,adegins
agnises,8,aeginss
agnized,18,adeginz
agnizes,17,aeginsz
agnomen,10,aegmnno
agnosia,8,aaginos
agogics,11,acggios
agonies,8,aeginos
agonise,8,aeginos
agonist,8,aginost
agonize,17,aeginoz
agoutas,8,aagostu
agoutis,8,agiostu
agraffe,14,aaeffgr
agrapha,13,aaaghpr
agraste,8,aaegrst
agravic,13,aacgirv
agreges,9,aeeggrs
aground,9,adgnoru
aheight,14,aeghhit
ahungry,14,aghnruy
aiblins,9,abiilns
aidance,10,aacdein
aidless,8,adeilss
aiglets,8,aegilst
aigrets,8,aegirst
ailanto,7,aailnot
aileron,7,aeilnor
ailette,7,aeeiltt
ailment,9,aeilmnt
aimless,9,aeilmss
aircrew,12,aceirrw
airflow,13,afilorw
airfoil,10,afiilor
airhead,11,aadehir
airhole,10,aehilor
airiest,7,aeiirst
airings,8,agiinrs
airless,7,aeilrss
airlift,10,afiilrt
airline,7,aeiilnr
airning,8,agiinnr
airplay,12,aailpry
airport,9,aioprrt
airship,12,ahiiprs
airsick,13,aciikrs
airside,8,adeiirs
airtime,9,aeiimrt
airting,8,agiinrt
airward,11,aadirrw
airwave,13,aaeirvw
airways,13,aairswy
aisling,8,agiilns
aitches,12,acehist
ajowans,17,aajnosw
ajutage,15,aaegjtu
akvavit,17,aaiktvv
alameda,10,aaadelm
alamode,10,aadelmo
alamort,9,aalmort
alanine,7,aaeilnn
alannah,10,aaahlnn
alarmed,10,aadelmr
alarums,9,aalmrsu
alaying,11,aagilny
albedos,10,abdelos
alberts,9,abelrst
albinic,11,abciiln
albinos,9,abilnos
albitic,11,abciilt
albugos,10,abglosu
albumen,11,abelmnu
albumin,11,abilmnu
alcaide,10,aacdeil
alcalde,10,aacdell
alcayde,13,aacdely
alchemy,17,acehlmy
alchera,12,aacehlr
alchymy,20,achlmyy
alcohol,12,achlloo
alcopop,13,acloopp
alcorza,18,aaclorz
alcoves,12,acelosv
aldoses,8,adeloss
alecost,9,acelost
alegars,8,aaeglrs
alegges,9,aeeggls
alembic,13,abceilm
alength,11,aeghlnt
alepine,9,aeeilnp
alerces,9,aceelrs
alerion,7,aeilnor
alerted,8,adeelrt
alertly,10,aellrty
aleuron,7,aelnoru
alevins,10,aeilnsv
alewife,13,aeefilw
alexins,14,aeilnsx
alfalfa,13,aaaffll
alferez,19,aeeflrz
alforja,17,aafjlor
algates,8,aaeglst
algebra,10,aabeglr
algesia,8,aaegils
algesis,8,aegilss
alginic,10,acgiiln
aliases,7,aaeilss
alicant,9,aacilnt
alidade,9,aaddeil
alidads,9,aaddils
aliened,8,adeeiln
alienee,7,aeeeiln
alienor,7,aeilnor
aliform,12,afilmor
alights,11,aghilst
aligned,9,adegiln
aliment,9,aeilmnt
alimony,12,ailmnoy
alining,8,agiilnn
alipeds,10,adeilps
aliquot,16,ailoqtu
alismas,9,aailmss
aliunde,8,adeilnu
alizari,16,aaiilrz
alkalis,11,aaiklls
alkanes,11,aaeklns
alkanet,11,aaeklnt
alkenes,11,aeeklns
alkynes,14,aeklnsy
allayed,11,aadelly
allayer,10,aaellry
alleged,9,adeegll
alleger,8,aeegllr
alleges,8,aeeglls
allegge,9,aeeggll
allegro,8,aegllor
alleles,7,aeellls
allergy,11,aegllry
alleyed,11,adeelly
allheal,10,aaehlll
allices,9,aceills
allises,7,aeillss
allness,7,aellnss
allonge,8,aegllno
allonym,12,allmnoy
allowed,11,adellow
alloyed,11,adelloy
allseed,8,adeells
alluded,9,addellu
alludes,8,adellsu
allured,8,adellru
allurer,7,aellrru
allures,7,aellrsu
alluvia,10,aailluv
allying,11,agillny
almanac,11,aaaclmn
almirah,12,aahilmr
almonds,10,adlmnos
almoner,9,aelmnor
almonry,12,almnory
almuces,11,acelmsu
alnager,8,aaeglnr
alnages,8,aaeglns
alodial,8,aadillo
alodium,10,adilmou
aloetic,9,aceilot
alongst,8,aglnost
aloofly,13,afllooy
alpacas,11,aaaclps
alpeens,9,aeelnps
alphorn,12,ahlnopr
alpines,9,aeilnps
already,11,aadelry
alright,11,aghilrt
alsikes,11,aeiklss
altered,8,adeelrt
alterne,7,aeelnrt
althaea,10,aaaehlt
althorn,10,ahlnort
aludels,8,adellsu
alumina,9,aailmnu
alumish,12,ahilmsu
alumium,11,ailmmuu
alumnae,9,aaelmnu
alumnus,9,almnsuu
alunite,7,aeilntu
alveary,13,aaelrvy
alveole,10,aeellov
alveoli,10,aeillov
alyssum,12,almssuy
amabile,11,aabeilm
amadous,10,aadmosu
amalgam,12,aaaglmm
amanita,9,aaaimnt
amarant,9,aaamnrt
amassed,10,aademss
amasses,9,aaemsss
amateur,9,aaemrtu
amating,10,aagimnt
amative,12,aaeimtv
amatory,12,aamorty
amazing,19,aagimnz
amazons,18,aamnosz
ambages,12,aabegms
ambassy,14,aabmssy
ambatch,16,aabchmt
ambient,11,abeimnt
ambitty,14,abimtty
amblers,11,abelmrs
ambling,12,abgilmn
amboina,11,aabimno
ambones,11,abemnos
amboyna,14,aabmnoy
ambries,11,abeimrs
ambroid,12,abdimor
ameboid,12,abdeimo
amenage,10,aaeegmn
amended,11,addeemn
amender,10,adeemnr
amenest,9,aeemnst
amening,10,aegimnn
amenity,12,aeimnty
amental,9,aaelmnt
amentia,9,aaeimnt
amentum,11,aemmntu
amerced,12,acdeemr
amerces,11,aceemrs
amiable,11,aabeilm
amiably,14,aabilmy
amildar,10,aadilmr
amities,9,aeiimst
ammeter,11,aeemmrt
ammiral,11,aailmmr
ammonal,11,aalmmno
ammonia,11,aaimmno
amnesia,9,aaeimns
amnesic,11,aceimns
amnesty,12,aemnsty
amoebae,11,aabeemo
amoebas,11,aabemos
amoebic,13,abceimo
amomums,13,ammmosu
amongst,10,agmnost
amorant,9,aamnort
amorets,9,aemorst
amorini,9,aiimnor
amorino,9,aimnoor
amorism,11,aimmors
amorist,9,aimorst
amorosa,9,aamoors
amoroso,9,amooors
amorous,9,amoorsu
amosite,9,aeimost
amounts,9,amnostu
ampassy,14,aampssy
amperes,11,aeemprs
amphora,14,aahmopr
amplest,11,aelmpst
amplify,17,afilmpy
