word,value
aa,2
aah,6
aal,3
aalii,5
aardvark,16
aardvarks,17
aardwolf,15
aardwolves,17
aargh,9
aarrghh,14
aasvogel,12
aasvogels,13
ab,4
aba,5
abaca,9
abacas,10
abaci,9
aback,13
abacus,10
abacuses,12
abaft,10
abalone,9
abalones,10
abampere,14
abamperes,15
abandon,10
abandoned,13
abandonee,12
abandoning,14
abandons,11
abase,7
abased,9
abasement,13
abases,8
abash,10
abashed,13
abashes,12
abashing,14
abashment,16
abashments,17
abasing,10
abatable,12
abate,7
abated,9
abatement,13
abatements,14
abates,8
abating,10
abatis,8
abator,8
abators,9
abattis,9
abattises,11
abattoir,10
abattoirs,11
abaxial,16
abba,8
abbacies,14
abbacy,15
abbas,9
abbatial,12
abbe,8
abbes,9
abbess,10
abbesses,12
abbey,12
abbeys,13
abbot,9
abbotcy,16
abbots,10
abbreviate,17
abdicate,13
abdicated,15
abdicates,14
abdicating,16
abdication,15
abdicator,14
abdicators,15
abdomen,12
abdomens,13
abdominal,14
abdominals,15
abduce,11
abduced,13
abduces,12
abducing,14
abduct,11
abducted,14
abductee,13
abductees,14
abducting,15
abduction,14
abductions,15
abductor,13
abductors,14
abducts,12
abeam,9
abear,7
abearing,11
abears,8
abed,7
abeigh,12
abele,7
abeles,8
abelia,8
aberdevine,16
aberrance,13
aberrancy,16
aberrant,10
aberrate,10
aberrated,12
aberrates,11
aberrating,13
aberration,12
abessive,13
abet,6
abetment,12
abetments,13
abets,7
abettal,9
abettals,10
abetted,10
abetter,9
abetters,10
abetting,11
abettor,9
abettors,10
abeyance,15
abeyances,16
abeyancies,17
abeyancy,18
abeyant,12
abhor,10
abhorred,14
abhorrence,17
abhorrency,20
abhorrent,14
abhorrer,13
abhorrers,14
abhorring,15
abhors,11
abidance,13
abidances,14
abidden,11
abide,8
abided,10
abides,9
abiding,11
abidingly,16
abidings,12
abies,7
abieses,9
abigail,10
abigails,11
abilities,11
ability,12
abiogenist,13
abioses,9
abiosis,9
abiotic,11
abject,17
abjected,20
abjecting,21
abjection,20
abjections,21
abjectly,22
abjectness,21
abjects,18
abjoint,16
abjointed,19
abjointing,20
abjoints,17
abjunction,21
abjuration,19
abjure,15
abjured,17
abjurer,16
abjurers,17
abjures,16
abjuring,18
ablate,8
ablated,10
ablates,9
ablating,11
ablation,10
ablations,11
ablatival,14
ablative,13
ablatives,14
ablator,9
ablators,10
ablaut,8
ablauts,9
ablaze,17
able,6
abler,7
ablest,8
ablet,7
ablets,8
ablins,8
abloom,10
ablow,10
ablush,11
ablution,10
ablutions,11
ablutomane,14
ably,9
abnegate,11
abnegated,13
abnegates,12
abnegating,14
abnegation,13
abnegator,12
abnegators,13
abnormal,12
abnormally,17
abnormity,16
abnormous,13
aboard,9
abode,8
abodement,14
abodes,9
aboideau,11
aboideaus,12
aboideaux,19
aboil,7
aboiteau,10
aboiteaus,11
aboiteaux,18
abolish,12
abolished,15
abolisher,14
abolishers,15
abolishes,14
abolishing,16
abolition,11
abolitions,12
abolla,8
abollae,9
abollas,9
abomasa,11
abomasal,12
abomasum,14
abomasus,12
abomasuses,14
abominable,16
abominably,19
abominate,13
abominated,15
abominates,14
abominator,14
abondance,14
abondances,15
aboral,8
abord,8
aborded,11
abording,12
abords,9
abore,7
aboriginal,13
aborigine,12
aborigines,13
aborne,8
aborning,11
abort,7
aborted,10
aborticide,15
aborting,11
abortion,10
abortional,12
abortions,11
abortive,13
abortively,18
aborts,8
abought,13
aboulia,9
abound,9
abounded,12
abounding,13
abounds,10
about,7
abouts,8
above,10
abradant,11
abradants,12
abrade,9
abraded,11
abrader,10
abraders,11
abrades,10
abrading,12
abraid,9
abraided,12
abraiding,13
abraids,10
abram,9
abranchial,17
abrasion,10
abrasions,11
abrasive,13
abrasively,18
abrasives,14
abraxas,16
abraxases,18
abray,10
abrazo,17
abrazos,18
abreact,11
abreacted,14
abreacting,15
abreaction,14
abreacts,12
abreast,9
abrege,9
abricock,18
abridge,11
abridged,13
abridger,12
abridgers,13
abridges,12
abridging,14
abridgment,16
abrim,9
abrin,7
abroach,14
abroad,9
abrogate,11
abrogated,13
abrogates,12
abrogating,14
abrogation,13
abrogative,16
abrogator,12
abrogators,13
abrupt,10
abrupter,12
abruptest,13
abruption,13
abruptions,14
abruptly,15
abruptness,14
abscess,11
abscessed,14
abscesses,13
abscind,12
abscinded,15
abscinding,16
abscinds,13
abscise,11
abscised,13
abscises,12
abscisin,12
abscising,14
abscisins,13
absciss,11
abscissa,12
abscissae,13
abscissas,13
abscisse,12
abscisses,13
abscissin,13
abscissins,14
abscission,14
abscond,12
absconded,15
absconder,14
absconders,15
absconding,16
absconds,13
abseil,8
abseiled,11
abseiling,12
abseilings,13
abseils,9
absence,11
absences,12
absent,8
absented,11
absentee,10
absentees,11
absenting,12
absently,13
absents,9
absey,10
absinth,12
absinthe,13
absinthes,14
absinthism,17
absinths,13
absit,7
absolute,10
absolutely,15
absolution,12
absolutism,14
absolutist,12
absolutory,15
absolve,12
absolved,14
absolver,13
absolvers,14
absolves,13
absolving,15
absolvitor,15
absonant,10
absorb,10
absorbable,16
absorbed,13
absorbedly,18
absorbency,19
absorbent,13
absorbents,14
absorber,12
absorbers,13
absorbing,14
absorbs,11
absorption,14
absorptive,17
abstain,9
abstained,12
abstainer,11
abstainers,12
abstaining,13
abstains,10
abstemious,14
abstention,12
absterge,11
absterged,13
abstergent,13
absterges,12
absterging,14
abstersion,12
abstersive,15
abstinence,14
abstinency,17
abstinent,11
abstract,12
abstracted,15
abstracter,14
abstractly,17
abstractor,14
abstracts,13
abstrict,12
abstricted,15
abstricts,13
abstruse,10
abstrusely,15
abstruser,11
abstrusest,12
absurd,9
absurder,11
absurdest,12
absurdism,14
absurdist,12
absurdists,13
absurdity,15
absurdly,14
absurdness,13
abulia,8
abuna,7
abunas,8
abundance,14
abundances,15
abundancy,17
abundant,11
abundantly,16
abune,7
aburst,8
abusage,10
abusages,11
abuse,7
abused,9
abuser,8
abusers,9
abuses,8
abusing,10
abusion,9
abusions,10
abusive,12
abusively,17
abut,6
abutilon,10
abutilons,11
abutment,12
abutments,13
abuts,7
abuttal,9
abuttals,10
abutted,10
abutter,9
abutters,10
abutting,11
abuzz,25
abvolt,11
abvolts,12
aby,8
abye,9
abyeing,13
abyes,10
abying,12
abysm,12
abysmal,14
abysmally,19
abysms,13
abyss,10
abyssal,12
abysses,12
acacia,10
acacias,11
academe,12
academes,13
academia,13
academic,15
academical,17
